[09.12.13, 06:16:16] Holzmano: Noii whatsapp nummere
[14.10.15, 23:14:47] Holzmano: Ohne fleiss kein preis...
[14.10.15, 23:15:03] Holzmano: Seged guet tschau...
[14.10.15, 23:15:07] Vera: wänn de stifmuatä buzz
[14.10.15, 23:15:17] Holzmano: De andere häuft
[14.10.15, 23:15:49] Vera: aukohol und nikotin rafft de andre häuft
[14.10.15, 23:16:11] Holzmano: Und zwar es halbs dozze
[14.10.15, 23:16:27] Vera: mueter gern au na
[14.10.15, 23:16:34] Holzmano: Hallo vater
[14.10.15, 23:16:43] Holzmano: Ich bin es Tamile
[14.10.15, 23:17:06] Vera: hotel bölli
[14.10.15, 23:17:16] Holzmano: S g isch abegheit gsi
[14.10.15, 23:17:39] Vera: 😊
[14.10.15, 23:17:51] Vera: ich söt go schlaffe ❤️
[14.10.15, 23:18:51] Holzmano: Mach nur!!
Schlaf guet..ly
[14.10.15, 23:19:26] Vera: lyt!
[16.10.15, 09:58:43] Vera: du hetsch eus anschinend söle usrichte das eus d nadine ihglade het morn?;)
[16.10.15, 09:58:48] Vera: stimmt das?
[16.10.15, 09:59:38] Holzmano: DNadine ladet niemert ii...si isch efa morn zZh
[16.10.15, 10:00:25] Holzmano: chume da aber au nöd so ganz druus demfall! Het sie dir gschribe denn?
[16.10.15, 11:17:47] Vera: das staht genau für eus drü. ich irgendwo am träume- cheggs nöd richtig- du am irgendöpis chnoble und de felix am umelache& schärzle
‎[16.10.15, 11:17:57] Vera: ‎Bild weggelassen
[16.10.15, 11:33:06] Holzmano: nei dwött du gsesch eifach nöd under dim huet füre!
[16.10.15, 12:25:05] Vera: ja denk symbolisch gmeint🙉
‎[16.10.15, 15:01:21] Vera: ‎Bild weggelassen
‎[16.10.15, 15:01:31] Vera: ‎Bild weggelassen
‎[16.10.15, 15:01:44] Vera: ‎Bild weggelassen
‎[16.10.15, 15:01:58] Vera: ‎Bild weggelassen
[16.10.15, 16:13:41] Holzmano: Haha voll!
[20.10.15, 12:51:24] Vera: hesch hüt zit zum mir chli mathe erkläre? 😊
[29.10.15, 07:14:51] Vera: hei lenz😉 wer nett wennd die biz sache chöntsch zruggbringe. wer mega nett😘
[29.10.15, 09:14:27] Holzmano: Wo genau musich denn das anebringe?
[29.10.15, 09:23:17] Vera: biz örlikon😉
[29.10.15, 09:24:07] Holzmano: Ja und WO? Briefchaschte, schalter, sekretariat?
[29.10.15, 09:33:55] Vera: seki
[29.10.15, 09:34:20] Vera: musch glaub in 2te stock oder so
[30.10.15, 20:17:11] Vera: ich gahn nacher nochli zf neftebach und bin am halbi 1 dihei wie immer ok?
[30.10.15, 20:34:04] Holzmano: Aha...?!
[30.10.15, 20:48:12] Vera: s mami & de papi schribed drum nöd zrugg
[30.10.15, 23:14:58] Holzmano: Aha!
[10.11.15, 19:31:37] Vera: 23. januar -> maturpräsentation😉
[10.11.15, 19:56:29] Holzmano: Weiss has iitreit
[10.11.15, 19:56:39] Vera: supo😘
[28.11.15, 10:34:39] Vera: hei du:) chaschmer echt das wuchenend öpis zeige wiemer bilder uf de adobe programm neu chan verlinke? 😊
‎[28.11.15, 11:58:22] Holzmano: ‎Bild weggelassen
[28.11.15, 11:58:38] Holzmano: Was meinsch mit verlinke?
[28.11.15, 11:58:47] Vera: danke
[28.11.15, 11:59:46] Vera: ja ehm so bilder wo ich neu mus verlinke im adobe will ds ursprüngliche bild zb nümm im gliche ordner isch und s drumm igend usme grund nümm chan verlinke mit dem wils zdumm isch
[28.11.15, 12:01:02] Holzmano: Hä das sett automatisch gaa!
[28.11.15, 12:08:35] Vera: ah ja? komisch...
[07.12.15, 15:09:39] Vera: chan du mir das mal wiiterleite vo dere werbeargentur🙉✌🏼️
[07.12.15, 16:49:11] Holzmano: hans gmacht...
[07.12.15, 16:52:46] Vera: 👍🏼
[23.12.15, 14:00:49] Vera: hei ir essed hüt nöd dihei oder? 😁
[23.12.15, 14:01:28] Vera: und isch das lea fäschtli offiziell oder privat- will ich wür gern mitem dimitri mal verbigügsle🙈
[23.12.15, 14:11:25] Holzmano: hmm...weiss gar nöd si hett mir persönlich gschribe gha...und ich weiss au ned wer alles chunnt
[24.12.15, 00:17:13] Vera: chönder no d abwaschmaschine usrume wenner diheime sind?
‎[30.12.15, 22:59:43] Vera: ‎Bild weggelassen
[30.12.15, 23:01:16] Holzmano: Hey ja voll...es würdir au mega gfalle...was machsch du so?
[30.12.15, 23:02:11] Vera: scho? 😊
[30.12.15, 23:02:18] Vera: wieso denn?
[30.12.15, 23:02:49] Holzmano: Wills sehr kuul isch...und super lüt het...
[30.12.15, 23:47:23] Vera: wow tönt richtig guet😊😁
[30.12.15, 23:47:35] Vera: vilicht chumi ja znöchscht jahr😊
[30.12.15, 23:48:21] Holzmano: Mir gönd denn im 2030 snögschtmal...
[30.12.15, 23:55:26] Vera: wow hammer😁
[03.01.16, 19:26:40] Vera: was für franzlektüre hesch du usgwählt für d matur? 😊
[03.01.16, 20:03:39] Holzmano: De cyrano
[03.01.16, 20:04:26] Vera: was isch dn das?
‎[08.01.16, 13:31:43] Vera: ‎Bild weggelassen
‎[08.01.16, 13:31:53] Vera: ‎Bild weggelassen
[09.01.16, 15:23:38] Vera: mir essed ersch am viertel ab 5i
[09.01.16, 15:43:28] Holzmano: Ok
[11.01.16, 21:56:56] Holzmano: Castle?
[11.01.16, 21:58:39] Vera: jetzt no?
[11.01.16, 21:58:54] Holzmano: Lauft uf wilma?
[11.01.16, 21:59:09] Holzmano: *!
[11.01.16, 22:06:10] Vera: ahchso?
[01.02.16, 19:18:50] Vera: en gruess vom doctus😁
[01.02.16, 19:42:51] Holzmano: Seischem Doktus eine zrugg...
[01.02.16, 20:01:45] Vera: machich
[08.02.16, 22:21:17] Vera: postizettel:

2 Rechteckigi pizzateig
1 creme freche mit chrütli dine (es isch aber meh wie sonen ufstrich)
speckwürfeli (chasch selber bestimme wie vill)
[09.02.16, 11:18:40] Holzmano: Musich das chaufe?
[09.02.16, 11:54:31] Holzmano: Has poschtet!
[09.02.16, 12:03:47] Vera: perfekt danke😉
‎[20.02.16, 15:43:22] Vera: ‎Kontaktkarte ausgelassen
‎[20.02.16, 15:44:28] Vera: ‎Bild weggelassen
[26.02.16, 20:57:25] Holzmano: Sind im insieme steiberggass
[26.02.16, 21:18:20] Vera: guet
[06.04.16, 10:39:02] Vera: ‎Nachrichten in diesem Chat sowie Anrufe sind jetzt mit Ende-zu-Ende-Verschlüsselung geschützt.
[06.04.16, 10:38:57] Holzmano: Hey dwött heschder schomal überleit zum e schrift selber designe?
[06.04.16, 11:01:08] Vera: puuuh weiss gar nöd wie das gaht😅
[06.04.16, 11:17:41] Holzmano: http://www.hellobrio.com/blog/font-tutorial zb.... :)
[06.04.16, 11:18:55] Holzmano: http://www.creativebloq.com/typography/design-your-own-typeface-8133919
[06.04.16, 11:21:41] Vera: wieso chunsch denn eigentlich druf? 😊
[06.04.16, 11:22:16] Holzmano: Will ich sGfühl han dass du das chönntsch!
[06.04.16, 11:33:38] Vera: ✌🏼
[21.04.16, 12:38:03] Vera: hei du bisch hüt abig ume - wahrscheindlichkeit🤓
[21.04.16, 12:38:16] Holzmano: ja
[30.04.16, 23:24:54] Vera: halllooooo? 👀
[18.05.16, 21:06:10] Vera: also morn chaschmer chli mathe erkläre?:)
[18.05.16, 22:52:24] Holzmano: Ja voll ! Isch de spöter morge/mittag guet?
[19.05.16, 05:54:30] Vera: ich han schuel bis ca am vieri✌🏼
[19.05.16, 07:49:45] Holzmano: K
[20.05.16, 21:27:25] Vera: 1 isch guet❤
[20.05.16, 21:43:35] Holzmano: 👍
[20.05.16, 22:04:59] Vera: wo?
[20.05.16, 22:17:46] Vera: also bide milchrampe am 13.00 isch guet?:) ich gib mis handy ab jetzt bide garderobe ab
[20.05.16, 22:18:02] Holzmano: Ja isch guet
[21.05.16, 00:51:28] Holzmano: Isch 10ab au guet?
[22.05.16, 22:14:56] Holzmano:  ‎Standort: https://maps.google.com/?q=47.482063,8.770557
‎[09.06.16, 12:50:37] Vera: ‎Bild weggelassen
‎[09.06.16, 12:51:03] Vera: ‎Bild weggelassen
[09.06.16, 12:52:46] Vera: de felix chauft 😊
[09.06.16, 12:52:52] Vera: musch nümm
[09.06.16, 16:22:21] Vera: hei lenz:)
wenn mer en Wendepunkt W(1/0) het wer de ja denn nur für f''(x) denkt.
aber ide lösige setzeds s x (also ds 1) bi f(x)  und f'(x) ih und s übsilon wird variiert😏
chume nödndrus
[09.06.16, 16:22:35] Vera: (kannst du mir helfn? 😊)
[09.06.16, 16:43:45] Holzmano: Nei de Wendepunkt hett weder eppis mit de ableitig no mit de 2.ableitig ztue...de isch denk iisetzbar i f(x)!
[09.06.16, 17:05:02] Vera: wenn bisch dihei? denn chöntis der besser erkläre
[09.06.16, 17:05:12] Vera: bzw du mir😉
[09.06.16, 17:05:22] Holzmano: chaschmer jad uufgaab erchläre
[09.06.16, 17:05:29] Holzmano: *schicke
[09.06.16, 17:09:49] Vera: oki💃🏻
‎[09.06.16, 17:19:19] Vera: ‎Bild weggelassen
‎[09.06.16, 17:20:09] Vera: ‎Bild weggelassen
[09.06.16, 17:23:23] Holzmano: Lueges i 10min aa
[09.06.16, 19:01:14] Vera: erchlärsches mer hüt abig?
[09.06.16, 19:04:40] Holzmano: ou fuck ...wart...
‎[09.06.16, 19:20:09] Holzmano: ‎Bild weggelassen
[09.06.16, 19:22:01] Vera: okei danke😊😉
[09.06.16, 19:22:12] Holzmano: chunnsch druus?
[09.06.16, 19:22:32] Vera: jo💃🏻
[15.06.16, 09:29:27] Vera: hei lenz isches mögli das wenn du id biblio chunsch en regeschirm für mich mitnimmsch?;)!
[15.06.16, 09:39:06] Holzmano: Ja
[15.06.16, 09:39:14] Vera: danke😊
[15.06.16, 10:15:43] Holzmano: Hey srry hans vrgÄsse
[15.06.16, 11:21:02] Vera: really? 😄
[15.06.16, 11:21:15] Holzmano: Ja 😂
[15.06.16, 12:02:38] Vera: chaschmer s wlan passwort geh?
[15.06.16, 12:02:55] Holzmano: Mis gaat iwie nüm
[15.06.16, 12:03:58] Holzmano: Ok sgaat wider 😬
[15.06.16, 12:06:08] Holzmano: Username: lebaum@uzh.ch
Passwort: gibider nacher ii
[15.06.16, 12:08:12] Vera: das isch s passwort??
[15.06.16, 12:08:35] Holzmano: Nei
[15.06.16, 12:09:00] Vera: was denn?
[15.06.16, 12:12:06] Holzmano: Ich gibsder nacher ii
[15.06.16, 12:13:32] Holzmano: Wo bisch?
[15.06.16, 12:13:41] Vera: oberste stock
[15.06.16, 12:13:49] Holzmano: Mann...
[15.06.16, 12:13:54] Vera: rechts ah de fenschter
[15.06.16, 12:13:59] Vera: z hinderst hine
‎[15.06.16, 20:47:11] Vera: ‎Bild weggelassen
‎[15.06.16, 20:47:11] Vera: ‎Bild weggelassen
[15.06.16, 20:47:15] Vera: was söll das???
[15.06.16, 22:25:20] Holzmano: Ka was das sell...chume gar nid drus
[19.06.16, 21:49:54] Holzmano: Bin mitem auto in seen wennd nachem match no e mitfahrglegeheit bruchsch 👍
[19.06.16, 21:50:56] Vera: coool meldmi denn💁🏼
[19.06.16, 22:53:58] Holzmano: Sodeli...bisch ready?
[19.06.16, 23:15:39] Vera: 15 min so ungefähr
[19.06.16, 23:19:28] Holzmano: Was 15min? Chunnsch aa oder fahrsch ab...
‎[19.06.16, 23:20:37] Vera: ‎Video weggelassen
[19.06.16, 23:30:24] Vera: post seen jetzt
[29.06.16, 16:01:17] Vera: also wennich ez als dritti stahn zwüsched 8.00 und 9.00 denn chumich offiziell am 8.30 drah - mus aber am 8.15 de text lese
[29.06.16, 16:01:44] Vera: oh das isch nöd für dich sorry😄😉
[29.06.16, 16:02:01] Vera: das isch für dich:
chunsch id badi:) bis am sechsi:)
[29.06.16, 16:05:51] Holzmano: Haha i weli denn?
[29.06.16, 16:06:38] Vera: is geisi:
[29.06.16, 16:06:56] Vera: 😊
[29.06.16, 16:11:50] Vera: also uf di sechsi chunts ebe glaub go gwittere
[29.06.16, 17:16:33] Vera: where are you?
[29.06.16, 17:16:40] Vera: 😊
[29.06.16, 17:17:12] Holzmano: Wo bisch?
[29.06.16, 17:17:21] Vera: da?
‎[29.06.16, 17:17:36] Vera: ‎Bild weggelassen
[29.06.16, 17:18:28] Holzmano: Weiss ned wodas isch?
[29.06.16, 17:18:35] Vera: bim chinderbad
[29.06.16, 17:19:13] Holzmano: Ok ...chume
[29.06.16, 17:19:22] Vera: guet😄
[02.07.16, 21:50:21] Holzmano: Srry dwött isch ned so gmeint gsi! 
Wünsch der en mega schöne Abig...!
[02.07.16, 21:54:18] Holzmano: Und es gseht seeehr cool uus!
[05.07.16, 22:28:58] Vera: dörfich das selber ufblasbare mätteli wo du letscht summer kauft hesch mit as frauefelder neh:)
[05.07.16, 22:41:27] Holzmano: Jaja
[30.07.16, 10:13:45] Vera: https://www.swissmilk.ch/de/rezepte/LM200805_76/nudeln-mit-rucola-pesto/?pdf=1&type=.pdf
[30.07.16, 10:14:31] Vera: achtung... das isch denn nur für 4 pers
[30.07.16, 10:14:41] Vera: simmer au nur 4 pers?
[30.07.16, 10:17:26] Vera: zum apero chasch mibringe: olive, chäs, und en rosè/ prosecco
[30.07.16, 10:17:28] Vera: danke
[30.07.16, 10:20:45] Holzmano: Schick es foti bitte..
‎[30.07.16, 10:21:06] Vera: ‎Bild weggelassen
[30.07.16, 10:22:05] Vera: und no:
100g Beeri 
2 päkli vanillezuckef
1Zitrone
300g Naturjogurt
[30.07.16, 10:22:06] Vera: danke
[31.07.16, 16:35:27] Vera: mir sind fertig
[31.07.16, 16:35:30] Vera: chömmed
[31.07.16, 16:40:40] Holzmano: Sind ufem weg...
[01.08.16, 06:52:48] Holzmano: Hä pennsch du nid dihei?
[04.08.16, 16:07:00] Vera: chunsch id badi?
[04.08.16, 16:55:43] Holzmano: Nid gseh...
[12.08.16, 20:28:50] Vera: ich übernahte bide jade
[14.08.16, 15:12:21] Vera: eioo lad doch für hüt abig s paar Nice lütli ih zum bi eus esse odoo so🙅🏽☺👻🙈
[14.08.16, 15:18:45] Vera: ich bin denn eifach nöd da
[14.08.16, 21:21:00] Holzmano: Hä???
‎[21.09.16, 17:00:49] Vera: ‎Bild weggelassen
[21.09.16, 17:01:12] Holzmano: Ich luegs dihei aa!
[21.09.16, 17:01:21] Vera: danke!
[03.10.16, 07:58:36] Holzmano: HEy im grosse Zalando-Pack fehled es paar schwarzi Jeanshose!!! Wo sind die?
[03.10.16, 08:21:05] Holzmano: lüt mer bitte aa...
[03.10.16, 08:21:21] Holzmano: ufs home...wege de handy verbindig
[03.10.16, 09:41:21] Vera: oke👍🏼
[03.10.16, 09:45:01] Vera: kei verbindig meh
[03.10.16, 09:45:15] Holzmano: ok easy...ich suech demfall nomal
[07.10.16, 17:21:20] Vera: hei lenz bin denn am 20ab dunne im kgh
[07.10.16, 18:10:10] Holzmano: Ok...
[09.10.16, 20:22:13] Vera: hi hesch en eurostecker?
