[16.09.13, 07:55:20] ‎Felix hat den Betreff zu “Familie” geändert.
[12.12.13, 09:56:18] Papa: Danke ly 2 janzjanzfejd
[12.12.13, 14:16:06] Vera: Fotialbum
[13.12.13, 11:30:08] Felix: Hei ich stirb ez denn vor fett
‎[13.12.13, 11:30:28] Felix: ‎Bild weggelassen
‎[13.12.13, 11:30:30] Felix: ‎Bild weggelassen
[13.12.13, 11:58:24] Papa: Mmh ha voll hungr... Beneid!
‎[13.12.13, 18:59:15] Papa: ‎Video weggelassen
[13.12.13, 19:00:22] Papa: Eva da hani parkiert, gad näbetde ehemalige beate uhse, 1. stock bhf
[13.12.13, 19:45:32] Papa: Ab jetzt im flugmodus
[13.12.13, 21:40:37] Mama: Bi am 22:30 in winti u du.
[13.12.13, 22:23:43] Felix: Paps hett im flugmodus bis nachde vorstellig.. Drum schriibter vlt nöd zrugg
[13.12.13, 22:43:32] Mama: Danke, ha ihn gfunde. Wenn chunnsch hei?
[13.12.13, 22:50:17] Felix: Bin na im outback eis am zieh.. Binnen einer stunde sötti dihei sii
[13.12.13, 23:09:54] Mama: Ok heb sorg
[14.12.13, 14:35:25] Felix: Hei machemer so ufdi 18.45 znacht?
[14.12.13, 14:35:46] Felix: Ich wür gern ufdi 20.45 is kino..und denn hettemer schöön zit
[14.12.13, 14:46:07] Felix: ?
[14.12.13, 15:11:29] Vera: Ehm  ich han no die vortragsstund
[14.12.13, 15:13:27] Felix: Hää?
[14.12.13, 15:13:33] Felix: Das heisst?
[14.12.13, 19:29:16] Holzmano: Isch eine dihei?
[14.12.13, 19:29:52] Felix: Mir vibered i 10min, ok?
[14.12.13, 19:30:15] Holzmano: Ich bruch eui hilf bim bueche vode tickets!!
[14.12.13, 19:33:37] Felix: Lütmer uf facetime A
[14.12.13, 19:42:58] Papa: Furz gagi
[14.12.13, 19:43:06] Papa: Stinkink
[14.12.13, 19:56:17] Papa: Hej via feissteim gats nöd
[14.12.13, 19:57:40] Papa: Hei lüt a , ixxadi nöd erreixe
[14.12.13, 20:19:50] Holzmano: Lüte i 10 min aa!
[17.12.13, 16:03:04] Papa: Lüt ix bino xli in atzgi
[17.12.13, 16:03:18] Felix: Gnüsses!
[17.12.13, 16:03:35] Papa: Jop
[17.12.13, 16:07:13] Holzmano: Aaaaaaaaaaaa de güa
[17.12.13, 16:08:53] Mama: I bi wieder dahei - isch luschtig gsi, das interview. Garantiert wieder mit eim vom andere... Jessesnei....
[17.12.13, 16:09:36] Felix: Hahaha du und dini schwugis
[17.12.13, 16:09:55] Holzmano: Haha Felix! D mama zieht die iwie aa!
[17.12.13, 16:10:10] Felix: Hahahaha definitiv
[17.12.13, 16:10:17] Mama: Ja, die si charmant zu froue
[17.12.13, 16:10:41] Holzmano: Die derfed ebe...
[17.12.13, 16:10:48] Mama: U nid gfährlech
[17.12.13, 16:10:51] Felix: 😜
[17.12.13, 16:11:19] Holzmano: Ganz genau das wennd doch d Fraue...harmlos und zuvorkommend :)
[17.12.13, 16:11:35] Felix: Und unterwürfig
[17.12.13, 16:11:39] Felix: 👶
[17.12.13, 16:11:47] Holzmano: 👳
[17.12.13, 16:11:48] Mama: Schenau- emu wenn scho eine hesch
[17.12.13, 16:12:03] Holzmano: Du hesch drü!
[17.12.13, 16:12:02] Felix: Haha wass?
[17.12.13, 16:12:04] Felix: Aha
[17.12.13, 16:12:15] Felix: 💨💨💨
[17.12.13, 16:12:26] Holzmano: (Zwei normali + 1 Inderli)
[17.12.13, 16:12:26] Felix: Drü 🐔
[17.12.13, 16:12:31] Mama: Ja drei furzer genau
[17.12.13, 16:12:32] Felix: Haha
[17.12.13, 16:12:39] Holzmano: Eini e ghüen?
[17.12.13, 16:12:54] Felix: Wat?
[17.12.13, 16:12:56] Mama: Cha nid so schnäu schriebe wi ihr
[17.12.13, 16:13:07] Holzmano: Ds langsame...
[17.12.13, 16:13:22] Mama: Ja i bi scho kaputt
[17.12.13, 16:13:31] Holzmano: Ds alte...
[17.12.13, 16:13:40] Felix: Ds stinji
[17.12.13, 16:13:43] Mama: Duuuuuu!!!!!!!!!
[17.12.13, 16:13:48] Felix: 💩
[17.12.13, 16:13:54] Holzmano: 😇
[17.12.13, 16:14:02] Holzmano: 👼
[17.12.13, 16:14:06] Mama: Wo holi di gagle? Wott au
[17.12.13, 16:14:23] Felix: Lueg daa: 💩💩💩😁💨💩💩
[17.12.13, 16:14:34] Mama: Danke
[17.12.13, 16:14:35] Felix: 🙊
[17.12.13, 16:15:21] Mama: 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩
[17.12.13, 16:15:26] Felix: Hahaha
‎[17.12.13, 16:15:50] Holzmano: ‎Bild weggelassen
‎[17.12.13, 16:15:51] Holzmano: ‎Bild weggelassen
‎[17.12.13, 16:15:51] Holzmano: ‎Bild weggelassen
‎[17.12.13, 16:15:52] Holzmano: ‎Bild weggelassen
[17.12.13, 16:15:55] Holzmano: Haha 
Lug so mama:
[17.12.13, 16:15:59] Felix: 💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨
[17.12.13, 16:16:08] Mama: 💣
[17.12.13, 16:16:10] Holzmano: Ez höred uf!
[17.12.13, 16:16:20] Mama: 🚽
[17.12.13, 16:17:09] Holzmano: Das isch de tod vo jedem gruppechat imfall...wenn zwei oder drü afanged wild im scheiss umeschriibe...!
[17.12.13, 16:17:12] Mama: Danke, has iz o gmerkt
[17.12.13, 16:17:28] Mama: Aso tschüss
[17.12.13, 16:17:36] Holzmano: Nei nöd ga!
[17.12.13, 16:17:48] Holzmano: Wo bich? Schick es foti?
[17.12.13, 16:17:49] Mama: Walum
[17.12.13, 16:17:57] Mama: Ääp
[17.12.13, 16:17:58] Mama: Äü
[17.12.13, 16:18:12] Holzmano: Was isch Äp?
[17.12.13, 16:19:05] Mama: Nüt isch mer ab . Lueg das hani am luki kouft
‎[17.12.13, 16:19:10] Mama: ‎Bild weggelassen
[17.12.13, 16:19:24] Mama: Isch guet?
[17.12.13, 16:19:57] Holzmano: Sooo kuuul! Danke mamma!
Awesome...
[17.12.13, 16:20:15] Mama: Schell
[17.12.13, 16:20:27] Holzmano: Schnell?
[17.12.13, 16:20:45] Mama: Gäll sou das heisse
[17.12.13, 16:21:33] Holzmano: Du meinsch "jäll" s "j" isch s stimmhafte "sch"...
[17.12.13, 16:22:11] Mama: Ok i chas ebe nid. Bisch zrügg vom schaffe?
[17.12.13, 16:23:06] Mama: Dr arun isch scho gange, gäll? Nächscht wuche um die zyt bisch du o i üsere stube
[17.12.13, 16:23:12] Mama: Freue mi u
[17.12.13, 16:24:45] Holzmano: Voll ich mich au...mega!!! Ja ich bin ellei zurzit...no drü täg schuel, bestehend us 1/2 Tag vorbereitige füre sporttag, 1 Tag sporttag und 1 tag abschlusstag...
[17.12.13, 16:26:10] Mama: Das tönt wenigstens nid langwilig.
[17.12.13, 16:26:29] Holzmano: Isches aber..
[17.12.13, 16:28:52] Mama: Naja, machs mit engagement. Es macht erschtens me spas u zwöitens geit zyt schnäuer ume. U drittens isches doch e gueti erfahrig, oder?
[17.12.13, 16:29:57] Holzmano: Uf jede fall...jaja es hett eifach zvil lährloif will niemer de tätschmeischter macht!
[17.12.13, 16:30:56] Mama: Mensch ärgere dich nicht, wundere dich bloss. Andere länder, andere....
[17.12.13, 16:31:10] Holzmano: ...stinkis!
[17.12.13, 16:31:33] Mama: Si i mues no öppis tue.
[17.12.13, 16:31:48] Holzmano: Ok :)
[17.12.13, 16:32:01] Mama: Ciao bello
[17.12.13, 17:49:29] Papa: Ghaltvoll -
[17.12.13, 18:01:36] Felix: Haha
[17.12.13, 19:42:38] Holzmano: Isch öpper dihei?
[17.12.13, 20:17:29] Felix: Ja!! Alüte?
[17.12.13, 20:27:19] Papa: Mr tünd morn widr... Jlaf guet
‎[18.12.13, 14:44:06] Felix: ‎Bild weggelassen
[18.12.13, 14:45:32] Mama: Jööööö
[20.12.13, 13:00:54] Holzmano: Vergässed nöd sRezäpt zschicke!
[20.12.13, 13:06:53] Mama: Ou ja, iz bini grad ir stadt. Maches am nami.
[20.12.13, 13:15:48] Holzmano: Ok isch guet!
‎[20.12.13, 16:11:47] Vera: ‎Bild weggelassen
[20.12.13, 16:12:01] Vera: Hettmer eh kollegin ufd wienachte gmacht! :)
[20.12.13, 16:42:48] Papa: Waaaas!!!! Sind gli dehei...
[22.12.13, 05:01:13] Holzmano: Guete Morge alli mitenand

Wünsche oi en super schöne 4. Advent!
Mir telefoniered wie versproche hützabig...

Bis bald
Lenz
[22.12.13, 09:32:07] Mama: Danke! Gueti Schuelufgüerig mit de kidis.. 😊
[22.12.13, 09:33:32] Holzmano: Danke!
[22.12.13, 11:48:33] Felix: Hei s tuet mer leid wegem zmirge.. Han en meha stress
[22.12.13, 15:12:41] Mama: 😉
[22.12.13, 17:20:40] Holzmano: Skype???
[22.12.13, 17:29:45] Papa: Gatau facetime?
[22.12.13, 17:42:48] Holzmano: Ok !
[23.12.13, 10:12:09] ‎Vera hat das Gruppenbild geändert.
[23.12.13, 18:37:21] Felix: Hei mega krass... Und trurig
‎[23.12.13, 18:37:27] Felix: ‎Bild weggelassen
[23.12.13, 19:00:48] Felix: Nachricht vom Lälle:

Hey ich mun chli min akku spare ...ich probier mi nomal churz vor abflug zmälde! Wenns nid klapped nöd brüehle!

Leitisch bitte das wiiter!
[23.12.13, 19:02:51] Holzmano: Aso das hetti au sälber chöne mache!!!
Mündlich dänk... 😜
[23.12.13, 19:03:07] Felix: Haha
[23.12.13, 19:03:11] Felix: Bin nanig dihei
[23.12.13, 20:09:45] Papa: Morn stahni am 5i stani uf... Ly
[23.12.13, 20:10:06] Felix: Haha
[23.12.13, 20:34:31] Holzmano: Aaaaaaah de göa!
[27.12.13, 11:54:05] Holzmano: Bin guet aacho!
[27.12.13, 21:32:33] Papa: Mir sind au wider dehei, danje fürde abfall maxe👍
[01.01.14, 01:08:19] Mama: Es guets nöis u gottes säge für eu alli. I ha euch alli mega gärn.
[01.01.14, 03:48:48] Mama: Wenn chunnt d vera hei???????
‎[05.01.14, 09:12:49] Felix: ‎Bild weggelassen
‎[05.01.14, 09:12:53] Felix: ‎Bild weggelassen
‎[05.01.14, 21:29:06] Felix: ‎Bild weggelassen
[05.01.14, 21:47:09] Holzmano: Also a alli:
Ich bin gad etzt im Zimmer aacho und gange go schlaafe...
Gottes Säge
[05.01.14, 21:47:34] Felix: Halleluja!
[05.01.14, 21:47:38] Felix: Dini stinjus
[05.01.14, 21:47:42] Felix: is
[05.01.14, 21:47:47] Mama: Super, mit em chäs?
[05.01.14, 21:47:52] Felix: Isch de chääs dure choo?
‎[05.01.14, 21:48:02] Felix: ‎Bild weggelassen
[05.01.14, 21:48:08] Felix: Kevin
[05.01.14, 21:49:27] Holzmano: Jap alles daa...!
[06.01.14, 15:17:10] Papa: Bin öppe am17.30h dihei. Favs
[07.01.14, 18:47:44] Felix: Aso bin im alpha
[07.01.14, 18:48:15] Papa: Paletti ly
[08.01.14, 10:10:54] Vera: Ich hanen 2.7 gha i Mathe 🙊😥😞
[08.01.14, 10:11:06] Vera: Ez hani en 3.5 im Zügnis
[08.01.14, 10:11:18] Vera: Und ich han denkt d Prüefig seg super gange
[08.01.14, 10:22:36] Holzmano: Och...halb so wild!!!
[08.01.14, 11:34:54] Felix: Scheisse...das chasmal geh
[08.01.14, 11:55:51] Mama: Tue nid grüble. Es git schlimmers. Ly
[08.01.14, 12:19:50] Papa: So ijsmer amix au gange... Lueg füre!
[09.01.14, 13:51:56] Felix: Churzfristig im bistro am schaffe.. Drum banig uufgrumt und abfall
[09.01.14, 13:52:26] Mama: Ok
[09.01.14, 15:57:02] Vera: 3.8 ii gschicht
[09.01.14, 17:14:25] Papa: Ischja fasch vier😉
[09.01.14, 17:23:53] Holzmano: Scheiss uf das alles etzt hesch gad en schlächte lauf...chunnt wider besser!
Isch immer sone Sinusaaglägeheit mit de prüefige!
[14.01.14, 08:04:39] Papa: Gott spricht: "Siehe ich mache alles neu!"... Eu allne en neue und gsägnete Tag mit Gottes Nöchi. Ly
[14.01.14, 10:23:23] Holzmano: Mersi!!
[14.01.14, 16:37:17] Vera: Danke
[14.01.14, 16:37:38] Vera: Ow das wer nid für mich gsii haha 😄
[19.01.14, 14:19:20] Felix: Bin öppe am 4i dihei
[19.01.14, 14:19:40] Felix: De papa het nöd zrugggschribe
[19.01.14, 15:08:25] Holzmano: Ok 8:30 denn?
[19.01.14, 15:09:20] Papa: Odr etz jnäll
[19.01.14, 15:09:46] Felix: 5min...
[19.01.14, 15:09:52] Felix: Bini dihei
[19.01.14, 15:10:09] Papa: Cool
[19.01.14, 15:12:18] Holzmano: Nei ich abr nöd...
[19.01.14, 15:12:47] Papa: Ok länz dänn 8.30
[19.01.14, 15:12:59] Holzmano: Jap dasch guet!
[19.01.14, 15:30:05] Felix: Aso ich chan imfall nöd so spaat (p2b)
[19.01.14, 15:35:37] Holzmano: Was das isch 16:00 bi oi...!
[19.01.14, 15:36:13] Felix: Ahaaa? I dinre ziit? Dh i 20min?
[19.01.14, 15:37:49] Holzmano: Ja mann i minre ziit !
Also machemer am 21:00 bi mir dh. 16:30 bi oi??
[19.01.14, 15:47:34] Felix: Wo bisch denn?
[19.01.14, 15:47:52] Holzmano: Mann ich chan nüt defür...aber es isch sonen dicke inder da wo mich uufhaltet!
[19.01.14, 15:48:14] Felix: Aber wo denn?
[19.01.14, 15:48:19] Holzmano: Bime kolleg...die cheibe CHÖND NÖD fürschi mache...
[19.01.14, 15:48:39] Felix: Haha
[19.01.14, 15:48:46] Holzmano: So müehsam...
[19.01.14, 16:52:09] Mama: Mir gö schnäll go laufe. Si öppe i 30' zrügg. Ly
[19.01.14, 17:18:05] Holzmano: Ok dasch guet!
[19.01.14, 17:38:35] Mama: Si wider da
‎[20.01.14, 16:13:36] Vera: ‎Video weggelassen
[20.01.14, 16:13:49] Vera: Genau so isches 😂
[20.01.14, 17:47:44] Mama: Uff
[20.01.14, 17:48:01] Papa: Wisu uff?
[20.01.14, 17:48:12] Holzmano: Gäll...
[20.01.14, 17:48:27] Papa: Fettig jaffe eva?
[20.01.14, 17:48:47] Mama: Ja bi ufem zug
[20.01.14, 17:49:08] Papa: Cool schöni
[21.01.14, 15:27:20] Felix: Hei mis handy het na 1% akku
Mis velo en platte...es staht z kemptal am bhf..
Bin drum ez mitm zug undrwex..
Ly
[21.01.14, 15:43:36] Papa: Mr holeds hüzbg ly
‎[27.01.14, 07:41:59] Vera: ‎Bild weggelassen
[27.01.14, 07:42:16] Vera: 2 lektione zfrüeh uufgstande!
[27.01.14, 07:50:32] Mama: Upps iz zuesch gmüetlech zmörgele. Ly
[27.01.14, 09:29:16] Vera: Lyt
[27.01.14, 09:33:09] Holzmano: Isch doch geil...
‎[28.01.14, 11:04:50] Vera: ‎Bild weggelassen
[28.01.14, 12:49:27] Mama: Isch zahlt. Danke u ly
[28.01.14, 16:42:01] Papa: Bij so lieb eva
[28.01.14, 16:42:30] Holzmano: ?
[28.01.14, 16:57:33] ‎Felix hat das Gruppenbild geändert.
[28.01.14, 17:05:08] Holzmano: Ned de Kevin....!!!!
[28.01.14, 17:05:18] Felix: Hahahaha
[28.01.14, 17:06:24] Mama: He? Ihr furzigagibisis
[28.01.14, 17:06:44] Felix: Haha
[28.01.14, 17:06:57] Felix: Anesi
[28.01.14, 17:07:24] Mama: Was isch mit em kevin u was heisst anesi?
[28.01.14, 17:07:38] Felix: de kevin ischs gruppe bild
[28.01.14, 17:07:41] Mama: Ir länket mi ab vor arbet
[28.01.14, 17:07:46] Felix: Chch
[28.01.14, 17:07:53] Holzmano: Hahahahahahaha ich lach mi kabutt....
‎[28.01.14, 17:08:42] Felix: ‎Audio weggelassen
[28.01.14, 17:08:44] Mama: Hesch scho virabig?
[28.01.14, 17:09:06] Mama: Sooooooo unaschtändig!!!!!!!
‎[28.01.14, 17:09:25] Holzmano: ‎Audio weggelassen
[28.01.14, 17:10:54] Mama: He?
‎[28.01.14, 17:11:28] Felix: ‎Audio weggelassen
[28.01.14, 17:20:13] Holzmano: 😄
‎[29.01.14, 16:09:53] Vera: ‎Bild weggelassen
[29.01.14, 16:10:00] Vera: Ich han am vujo sini nummere
[29.01.14, 16:10:28] Felix: Was?
[29.01.14, 16:10:41] Felix: Aber heschem dini nöd ge?!
[29.01.14, 16:15:00] Vera: Neei sicher nöd:)
[30.01.14, 06:37:16] Papa: Hej länz guete morge!!! Wie gats dine innereie? Widr Zwäg? Bitte jrib jnäll di nöijde. Lysm
[30.01.14, 06:45:08] Holzmano: Hüt isch eigetli fascht wider guet! Gescht isch eifach mega schlächt gsi....bin etzt hüt au no dihei bliibe und chilles chli!

Bi oi alles klar
[30.01.14, 06:51:26] Papa: Jop! Supr dasts dureghaue häj. Pfus noxli. Musgo jaffe jräß ly
[31.01.14, 15:03:08] Vera: Wiee geil! De hämmerle hetmer en 4.5 anstatt en 3.5 iihtreit 😄😄😄
[31.01.14, 16:06:11] Papa: Hej phalts für dich und enjoy
[01.02.14, 18:26:51] Vera: Lenz machsch mit mir mal facetime?:)
[01.02.14, 18:49:48] Holzmano: Klaaar! Wenn?
[01.02.14, 18:50:36] Vera: Morn oderso?
[01.02.14, 18:50:46] Holzmano: Ok!
[02.02.14, 12:32:50] Vera: Wenn bisch online?:)
[02.02.14, 13:58:44] Holzmano: Jetzt!
[02.02.14, 14:55:41] Mama: Mir si ersch wider am füfi diheime
[02.02.14, 14:55:54] Mama: Isch guet am füfi?
[02.02.14, 14:56:11] Holzmano: Ja dasch guet!
[02.02.14, 14:56:18] Felix: Was macheder?
‎[04.02.14, 16:45:40] Vera: ‎Bild weggelassen
[04.02.14, 16:45:49] Vera: Das ischd bstellig vom flox
[04.02.14, 21:24:37] Papa: Flox gäll du tänkj dra
‎[05.02.14, 12:37:24] Vera: ‎Bild weggelassen
[05.02.14, 12:37:34] Vera: Mama dôtf ich dss mitneh?
[05.02.14, 14:16:57] Mama: Ok aber i bi scl
[05.02.14, 14:17:24] Mama: Scho spät. Machs ganz guet!0
[09.02.14, 22:53:40] Vera: Lenz chunsch mit mir as southside?:)
[09.02.14, 22:54:12] Felix: Furzside
‎[09.02.14, 22:54:44] Felix: ‎Bild weggelassen
[10.02.14, 03:55:23] Holzmano: Hahaha...
‎[10.02.14, 11:47:27] Mama: ‎Bild weggelassen
‎[10.02.14, 11:48:25] Felix: ‎Audio weggelassen
‎[10.02.14, 11:49:02] Mama: ‎Video weggelassen
‎[10.02.14, 15:13:26] Mama: ‎Video weggelassen
[10.02.14, 15:13:32] Mama: Ds paps mit sim super elegante style
[10.02.14, 16:34:30] Holzmano: Haha ihr sind efach di beschte!!! Mached meh so filmli!
@flochs: De Gruess...so guet...und so tüfsinnig...uf drü verschidene ebene...direkt überwhatsapp, im filmli wods seisch zums uufnäh und denn no als uufnahm ide ufnahm... :)
[10.02.14, 16:57:00] Papa: Ja. Mir händetz länverbdg.
[10.02.14, 17:04:44] Holzmano: Kuul
‎[13.02.14, 10:08:18] Papa: ‎Bild weggelassen
[13.02.14, 10:08:32] Papa: Lug...
[13.02.14, 10:09:06] Papa: Hüzabg feissemr, guet?
[13.02.14, 10:21:33] Felix: Mueschämal
[13.02.14, 10:31:30] Holzmano: Ok machemer!
[13.02.14, 11:50:46] Vera: Lenz hesch mini frag nid gseh
[13.02.14, 11:50:48] Vera: ?
[13.02.14, 11:51:15] Vera: Hetsch luscht mit mir as southside ds gah?
[13.02.14, 18:27:03] Holzmano: So mischgis...was tüender?
[15.02.14, 11:04:41] Mama: Hello good morning...
‎[15.02.14, 11:05:20] Mama: ‎Video weggelassen
[15.02.14, 11:58:59] Holzmano: Haha sooo herzig... :)
‎[15.02.14, 12:25:47] Papa: ‎Bild weggelassen
‎[15.02.14, 12:26:46] Papa: ‎Bild weggelassen
‎[15.02.14, 12:27:05] Papa: ‎Bild weggelassen
‎[15.02.14, 12:28:03] Papa: ‎Bild weggelassen
‎[15.02.14, 12:28:43] Papa: ‎Bild weggelassen
‎[15.02.14, 12:29:34] Papa: ‎Bild weggelassen
‎[15.02.14, 12:30:27] Papa: ‎Bild weggelassen
‎[15.02.14, 12:30:56] Papa: ‎Bild weggelassen
‎[15.02.14, 12:31:39] Papa: ‎Bild weggelassen
‎[15.02.14, 12:32:15] Papa: ‎Bild weggelassen
[15.02.14, 12:34:14] Papa: Es paar forene usdine letjde jahr ... Mit gaaanz liebe grüess und für dis grosse fäscht hüzabig nume s bejd fürde bejd! Häppiböi hüüt
‎[16.02.14, 18:53:01] Mama: ‎Bild weggelassen
[16.02.14, 18:53:18] Mama: Vorhär - nachär
‎[16.02.14, 18:53:19] Mama: ‎Bild weggelassen
‎[16.02.14, 18:53:19] Mama: ‎Bild weggelassen
‎[16.02.14, 18:53:20] Mama: ‎Bild weggelassen
[16.02.14, 19:08:26] Holzmano: Ds BÖSE!!!!
[16.02.14, 19:13:58] Felix: Jaaarnööd
[16.02.14, 21:00:42] Vera: Oaaaaah gseht megaa geil uus felix
[18.02.14, 12:51:00] Papa: HEI LÄNZ!!! Gebu-hurtstaag😊
[18.02.14, 12:51:22] Holzmano: Yeah...!
‎[18.02.14, 12:51:39] Papa: ‎Audio weggelassen
[18.02.14, 12:52:38] Papa: Häjs liedli jhöät?
‎[18.02.14, 12:52:55] Holzmano: ‎Audio weggelassen
[18.02.14, 12:53:59] Papa: Was häj für gjänkli bihgoo
[18.02.14, 12:54:27] Papa: Bij dehei?
‎[18.02.14, 12:58:49] Papa: ‎Audio weggelassen
[18.02.14, 12:58:57] Holzmano: Es Kafimacherli wie dihei, en riisige teddy, e mega tolli kafitasse, indischi chüssiüberzüg, kaffi...
[18.02.14, 12:59:29] Papa: Wow uft übrzüg bini gjpannt
[18.02.14, 12:59:36] Holzmano: Haha...
[18.02.14, 12:59:37] Felix: Haha hammer
[18.02.14, 12:59:45] Felix: Gratuliere stinki
[18.02.14, 12:59:59] Papa: Bis ändi wuxe jräß
[18.02.14, 13:00:06] Mama: Super - iz hesch scho bald ä hushaltig zäme
[18.02.14, 13:00:44] Papa: Was lauft, hocked ihr ali am eifoun? Zzz
[18.02.14, 13:01:04] Holzmano: Das isch musig us de schwiiz
[18.02.14, 13:01:44] Mama: Ja mir händ ja süsch nüt ztue
[18.02.14, 13:02:02] Holzmano: Haha stimmt...nännt sich fiirabig
[18.02.14, 13:02:39] Mama: Ja am zischtig fangt z weekend doch ah
[18.02.14, 13:13:44] Holzmano: Genau...
[20.02.14, 10:55:32] ‎Felix hat das Gruppenbild geändert.
[01.03.14, 00:22:35] Felix: Binna bis fuchse...!
[01.03.14, 01:20:04] Mama: Ok
[04.03.14, 18:11:14] Felix: Schön da
‎[04.03.14, 18:11:14] Felix: ‎Bild weggelassen
[04.03.14, 18:28:12] Mama: Wo isch das? U was machsch grad eso?
[04.03.14, 18:28:48] Felix: Gad weni vo de jugi ufd hauptstrass laufe
[04.03.14, 18:28:56] Felix: Billigs esse sueche
‎[04.03.14, 18:29:15] Felix: ‎Bild weggelassen
[04.03.14, 18:29:19] Mama: Gasch öppis ga häberle?
[04.03.14, 18:30:18] Mama: Schön gsehts us. Is öppis feins, i beteilige mich denn dra. Wi isch d jugi?
[04.03.14, 18:31:23] Felix: D jugi isch kuhl.. Nöd gmüetli und min zimmergnoss isch en junkie, aber das chunnt guet
[04.03.14, 18:33:47] Papa: Nimm es jlüßfach!!!😏
[04.03.14, 18:34:08] Felix: Hani nöd aber ali wertsache uf maa
[04.03.14, 18:34:42] Papa: Frögam jaltr
[04.03.14, 18:34:49] Mama: Uff pass uf. Ja findi guet. Aber är isch nid gfährlich? Süsch gang ines anders zimmer
[04.03.14, 18:35:09] Felix: Haha chilleds ☺️
[04.03.14, 18:37:35] Papa: Jued👍
[04.03.14, 18:37:50] Papa: Üossts au?
[04.03.14, 18:38:03] Papa: Pissts
‎[04.03.14, 18:40:01] Felix: ‎Bild weggelassen
[04.03.14, 18:40:09] Felix: Ju!
Und fasnacht isch au
[04.03.14, 18:40:16] Felix: All voll zue 😜
[04.03.14, 18:40:51] Papa: Hei mujit altstadt, die ij mega hübj
[04.03.14, 18:43:46] Felix: Bini! Hammer
[04.03.14, 18:52:01] Papa: Pfus jued, ix ganit sauna, sij wättr defür
[04.03.14, 18:56:34] Holzmano: Chilleds...lönden mache!
Haha "uf maa" bisch di am iistimme?!
[04.03.14, 19:06:16] Felix: Haha ja 😜
[04.03.14, 19:06:35] Felix: Vill spafs,fafs!
[04.03.14, 20:15:02] Felix: Jued naft... Ly!
[04.03.14, 20:22:23] Mama: Lueg dr guet. I gang a d wermu. Die Mutter spricht, hugh.
[04.03.14, 20:22:40] Felix: Hahaha was?
[04.03.14, 20:22:53] Felix: Du gasch ad wermu?
[04.03.14, 20:23:02] Felix: Aha ad wermi
